PRD_SRL_NO,PRD_CD,product_family,a4_start_time,a4_end_time,a4_processing_sec,a4_long_threshold_sec,rail_event_count_overlap,rail_product_count_overlap,active_rail_count_overlap,same_family_rail_events,other_family_rail_events,other_family_product_count,overlap_wait_event_count,overlap_wait_p90_sec
PRD2000-260225501-0001,PRD2000,HANDLE,2026-02-25 17:03:41.928,2026-02-25 18:01:54.621,3492.693,686.91425,3702,5,4,3516,186,2,10,55.149999999999956
PRD2000-260316005-0001,PRD2000,HANDLE,2026-03-16 15:20:26.827,2026-03-16 16:18:08.589,3461.762,686.91425,160,2,4,160,0,0,2,73.25059999999999
PRD2000-260311013-0001,PRD2000,HANDLE,2026-03-11 11:07:35.273,2026-03-11 11:49:29.135,2513.862,686.91425,2843,12,4,2388,455,5,24,1467.4044
PRD2000-260225016-0001,PRD2000,HANDLE,2026-02-25 22:27:24.469,2026-02-25 23:03:56.178,2191.709,686.91425,2131,8,4,2020,111,3,18,1306.2154000000003
PRD2000-260225016-0002,PRD2000,HANDLE,2026-02-25 22:32:14.876,2026-02-25 23:03:11.782,1856.906,686.91425,1810,7,4,1771,39,3,9,1539.8864
PRD1000-260428005-0001,PRD1000,HANDLE,2026-04-28 22:49:07.344,2026-04-28 23:17:53.661,1726.317,686.91425,219,3,4,219,0,0,2,42.8738
PRD1000-260312008-0001,PRD1000,HANDLE,2026-03-12 15:54:48.349,2026-03-12 16:23:16.418,1708.069,686.91425,1955,11,4,940,1015,5,18,684.3521000000002
PRD1000-260424002-0002,PRD1000,HANDLE,2026-04-24 11:59:41.653,2026-04-24 12:20:42.172,1260.519,686.91425,923,3,4,923,0,0,1,80.472
PRD2000-260311028-0001,PRD2000,HANDLE,2026-03-11 17:40:43.955,2026-03-11 18:01:15.703,1231.748,686.91425,1880,12,4,1322,558,4,31,263.688
PRD2000-260311026-0001,PRD2000,HANDLE,2026-03-11 16:29:01.913,2026-03-11 16:48:49.589,1187.676,686.91425,1302,9,4,1267,35,1,16,165.4685
PRD1000-260311020-0001,PRD1000,HANDLE,2026-03-11 15:22:07.409,2026-03-11 15:39:19.152,1031.743,686.91425,1340,10,4,1283,57,2,16,55.34
PRD1000-260311022-0001,PRD1000,HANDLE,2026-03-11 15:26:55.648,2026-03-11 15:43:56.881,1021.233,686.91425,1511,10,4,1453,58,2,17,152.82160000000007
PRD1000-260311031-0001,PRD1000,HANDLE,2026-03-11 18:00:06.331,2026-03-11 18:17:05.169,1018.838,686.91425,2030,12,4,1785,245,3,25,633.6726000000008
PRD2000-260312004-0001,PRD2000,HANDLE,2026-03-12 15:42:38.753,2026-03-12 15:59:32.686,1013.933,686.91425,1318,12,4,1000,318,6,29,416.1881999999998
PRD2000-260312004-0002,PRD2000,HANDLE,2026-03-12 15:39:29.386,2026-03-12 15:56:14.062,1004.676,686.91425,1293,13,4,933,360,6,35,293.2376000000001
PRD2000-260311024-0001,PRD2000,HANDLE,2026-03-11 16:24:29.280,2026-03-11 16:41:01.521,992.241,686.91425,1038,9,4,1004,34,1,12,200.98190000000005
PRD1000-260421002-0004,PRD1000,HANDLE,2026-04-21 17:56:13.669,2026-04-21 18:12:22.191,968.522,686.91425,887,7,4,887,0,0,12,41.8898
PRD1000-260421002-0003,PRD1000,HANDLE,2026-04-21 18:01:36.803,2026-04-21 18:17:39.930,963.127,686.91425,927,6,4,927,0,0,10,75.70419999999994
PRD1000-260311031-0002,PRD1000,HANDLE,2026-03-11 17:49:03.357,2026-03-11 18:04:23.023,919.666,686.91425,1593,11,4,1233,360,3,18,619.7312000000004
PRD1000-260311020-0002,PRD1000,HANDLE,2026-03-11 15:18:50.879,2026-03-11 15:34:02.264,911.385,686.91425,930,10,4,850,80,2,15,177.21639999999996
PRD1000-260311025-0001,PRD1000,HANDLE,2026-03-11 16:21:29.002,2026-03-11 16:36:11.663,882.661,686.91425,949,9,4,914,35,1,11,219.476
PRD2000-260311021-0001,PRD2000,HANDLE,2026-03-11 15:35:14.832,2026-03-11 15:48:58.865,824.033,686.91425,1338,9,4,1274,64,2,16,166.428
PRD1000-260304005-0001,PRD1000,HANDLE,2026-03-04 15:15:46.276,2026-03-04 15:29:15.778,809.502,686.91425,523,7,4,452,71,3,12,88.85230000000001
PRD2000-260327002-0001,PRD2000,HANDLE,2026-03-27 17:57:21.695,2026-03-27 18:10:35.327,793.632,686.91425,228,2,4,228,0,0,1,29.192
PRD2000-260416006-0001,PRD2000,HANDLE,2026-04-16 14:49:29.152,2026-04-16 15:02:36.960,787.808,686.91425,1085,11,4,1085,0,0,21,147.749
PRD1000-260430001-0003,PRD1000,HANDLE,2026-04-30 13:37:41.438,2026-04-30 13:50:33.989,772.551,686.91425,635,4,4,635,0,0,7,40.52340000000001
PRD1000-260423002-0001,PRD1000,HANDLE,2026-04-23 11:06:43.701,2026-04-23 11:19:12.628,748.927,686.91425,574,5,4,574,0,0,8,159.24449999999996
PRD1000-260305004-0002,PRD1000,HANDLE,2026-03-05 16:47:44.374,2026-03-05 17:00:11.439,747.065,686.91425,337,3,4,244,93,1,4,75.94070000000002
PRD1000-260304009-0001,PRD1000,HANDLE,2026-03-04 15:42:18.181,2026-03-04 15:54:38.326,740.145,686.91425,384,6,4,374,10,1,5,1152.0148000000002
PRD2000-260311032-0001,PRD2000,HANDLE,2026-03-11 18:05:36.081,2026-03-11 18:17:51.543,735.462,686.91425,1476,12,4,1291,185,3,21,880.329
PRD2000-260311002-0001,PRD2000,HANDLE,2026-03-11 09:32:11.427,2026-03-11 09:44:23.723,732.296,686.91425,896,9,4,600,296,4,13,321.8682000000001
PRD1000-260421002-0001,PRD1000,HANDLE,2026-04-21 17:55:37.164,2026-04-21 18:07:44.302,727.138,686.91425,641,7,4,641,0,0,9,79.27740000000003
PRD2000-260223013-0001,PRD2000,HANDLE,2026-02-23 15:38:37.140,2026-02-23 15:50:38.314,721.174,686.91425,303,5,3,303,0,0,10,460.98549999999994
PRD2000-260416006-0002,PRD2000,HANDLE,2026-04-16 14:48:34.955,2026-04-16 15:00:32.716,717.761,686.91425,987,11,4,987,0,0,21,169.52
PRD2000-260304006-0002,PRD2000,HANDLE,2026-03-04 15:21:05.491,2026-03-04 15:33:02.822,717.331,686.91425,405,6,4,301,104,2,10,79.35069999999999
PRD1000-260506002-0002,PRD1000,HANDLE,2026-05-06 11:55:02.077,2026-05-06 12:06:35.828,693.751,686.91425,98,3,4,98,0,0,2,28.4425
PRD2000-260311032-0002,PRD2000,HANDLE,2026-03-11 18:02:56.445,2026-03-11 18:14:25.696,689.251,686.91425,1341,11,4,1161,180,3,16,631.5930000000001
PRD2000-260311019-0001,PRD2000,HANDLE,2026-03-11 15:16:39.568,2026-03-11 15:28:08.247,688.679,686.91425,626,10,4,529,97,2,16,290.9755
