action,action_group,metric,reduction_rate,scenario_rows,before_mean,observed_after_mean,simulated_after_mean,observed_delta_mean,simulated_delta_mean,observed_delta_ratio_mean,simulated_delta_ratio_mean
CONTROL_WIP,A4,a4_long_count,0.1,127,0.4304461942257218,0.4153543307086614,0.3738188976377953,-0.015091863517060369,-0.056627296587926514,0.6700417843833927,0.5030376059450533
CONTROL_WIP,A4,a4_long_count,0.2,127,0.4304461942257218,0.4153543307086614,0.33228346456692914,-0.015091863517060369,-0.09816272965879264,0.6700417843833927,0.3360334275067142
CONTROL_WIP,A4,a4_long_count,0.3,127,0.4304461942257218,0.4153543307086614,0.290748031496063,-0.015091863517060369,-0.1396981627296588,0.6700417843833927,0.16902924906837477
CONTROL_WIP,A4,a4_processing_max_sec,0.1,127,653.2849619422573,650.6244698162731,585.5620228346457,-2.6604921259842347,-67.72293910761151,1.0749519655234496,0.8674567689711047
CONTROL_WIP,A4,a4_processing_max_sec,0.2,127,653.2849619422573,650.6244698162731,520.4995758530183,-2.6604921259842347,-132.78538608923878,1.0749519655234496,0.6599615724187597
CONTROL_WIP,A4,a4_processing_max_sec,0.3,127,653.2849619422573,650.6244698162731,455.43712887139105,-2.6604921259842347,-197.84783307086616,1.0749519655234496,0.4524663758664147
DISPATCH_AMR,A3,a3_to_amr_wait_p90_recent,0.1,14,3328.6435392857143,3113.1710315476194,2801.8539283928576,-215.47250773809532,-526.7896108928571,7.678368320390354,6.810531488351318
DISPATCH_AMR,A3,a3_to_amr_wait_p90_recent,0.2,14,3328.6435392857143,3113.1710315476194,2490.5368252380954,-215.47250773809532,-838.106714047619,7.678368320390354,5.942694656312283
DISPATCH_AMR,A3,a3_to_amr_wait_p90_recent,0.3,14,3328.6435392857143,3113.1710315476194,2179.219722083333,-215.47250773809532,-1149.4238172023813,7.678368320390354,5.074857824273247
DISPATCH_AMR,A3,a3_to_c2_wait_p90_recent,0.1,14,188.8211785714286,2048.687657142857,1843.8188914285715,1859.8664785714286,1654.997712857143,1.6666666666666667,1.4000000000000001
DISPATCH_AMR,A3,a3_to_c2_wait_p90_recent,0.2,14,188.8211785714286,2048.687657142857,1638.9501257142858,1859.8664785714286,1450.1289471428572,1.6666666666666667,1.1333333333333335
DISPATCH_AMR,A3,a3_to_c2_wait_p90_recent,0.3,14,188.8211785714286,2048.687657142857,1434.08136,1859.8664785714286,1245.2601814285713,1.6666666666666667,0.8666666666666664
DISPATCH_AMR,A3,buffer_wip,0.1,14,29.38095238095238,31.535714285714285,28.38214285714286,2.1547619047619047,-0.9988095238095231,0.08983576165834217,-0.019147814507492013
DISPATCH_AMR,A3,buffer_wip,0.2,14,29.38095238095238,31.535714285714285,25.22857142857143,2.1547619047619047,-4.152380952380951,0.08983576165834217,-0.1281313906733262
DISPATCH_AMR,A3,buffer_wip,0.3,14,29.38095238095238,31.535714285714285,22.074999999999996,2.1547619047619047,-7.305952380952383,0.08983576165834217,-0.23711496683916053
HOLD_ENTRY,A4,a4_long_count,0.1,87,0.4415708812260536,0.4540229885057471,0.4086206896551724,0.01245210727969348,-0.032950191570881235,0.9132099926217574,0.7218889933595816
HOLD_ENTRY,A4,a4_long_count,0.2,87,0.4415708812260536,0.4540229885057471,0.3632183908045977,0.01245210727969348,-0.07835249042145592,0.9132099926217574,0.530567994097406
HOLD_ENTRY,A4,a4_long_count,0.3,87,0.4415708812260536,0.4540229885057471,0.317816091954023,0.01245210727969348,-0.12375478927203067,0.9132099926217574,0.3392469948352301
HOLD_ENTRY,A4,a4_processing_max_sec,0.1,87,489.55027107279693,511.777596743295,460.59983706896554,22.227325670498082,-28.950434003831404,1.341806103710325,1.1076254933392926
HOLD_ENTRY,A4,a4_processing_max_sec,0.2,87,489.55027107279693,511.777596743295,409.42207739463606,22.227325670498082,-80.1281936781609,1.341806103710325,0.8734448829682601
HOLD_ENTRY,A4,a4_processing_max_sec,0.3,87,489.55027107279693,511.777596743295,358.2443177203065,22.227325670498082,-131.30595335249043,1.341806103710325,0.6392642725972275
PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,0.1,10939,175.5459811423957,172.07615677849896,154.86854110064905,-3.469824363896762,-20.677440041746653,2.6981065567739226,2.3282959010965305
PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,0.2,10939,175.5459811423957,172.07615677849896,137.66092542279915,-3.469824363896762,-37.885055719596544,2.6981065567739226,1.9584852454191386
PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,0.3,10939,175.5459811423957,172.07615677849896,120.45330974494925,-3.469824363896762,-55.09267139744646,2.6981065567739226,1.5886745897417456
PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.1,10939,44.759183649480455,67.1244781881342,60.41203036932078,22.36529453865375,15.652846719840328,5.104371545367223,4.493934390830501
PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.2,10939,44.759183649480455,67.1244781881342,53.69958255050737,22.36529453865375,8.94039890102691,5.104371545367223,3.88349723629378
PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.3,10939,44.759183649480455,67.1244781881342,46.98713473169394,22.36529453865375,2.227951082213484,5.104371545367223,3.2730600817570568
PRIORITIZE_DISCHARGE,A3,buffer_wip,0.1,10939,80.95411676874791,80.97946186427767,72.88151567784989,0.025345095529755914,-8.072601090898006,0.00043763035662853556,-0.09960613267903426
PRIORITIZE_DISCHARGE,A3,buffer_wip,0.2,10939,80.95411676874791,80.97946186427767,64.78356949142213,0.025345095529755914,-16.170547277325774,0.00043763035662853556,-0.19964989571469716
PRIORITIZE_DISCHARGE,A3,buffer_wip,0.3,10939,80.95411676874791,80.97946186427767,56.685623304994365,0.025345095529755914,-24.268493463753547,0.00043763035662853556,-0.2996936587503601
SCHEDULE_RAIL,RAIL,active_rail_count,0.1,1292,2.967169762641899,2.969492134972011,2.67254292147481,0.0023223723301122696,-0.29462684116708876,0.4123521747066368,0.2711169572359732
SCHEDULE_RAIL,RAIL,active_rail_count,0.2,1292,2.967169762641899,2.969492134972011,2.3755937079776093,0.0023223723301122696,-0.5915760546642898,0.4123521747066368,0.12988173976530953
SCHEDULE_RAIL,RAIL,active_rail_count,0.3,1292,2.967169762641899,2.969492134972011,2.0786444944804074,0.0023223723301122696,-0.8885252681614912,0.4123521747066368,-0.011353477705354262
SCHEDULE_RAIL,RAIL,rail_event_count,0.1,1292,250.78457172342624,266.5883893110674,239.92955037996063,15.803817587641115,-10.855021343465614,2.757980675632446,2.382182608069202
SCHEDULE_RAIL,RAIL,rail_event_count,0.2,1292,250.78457172342624,266.5883893110674,213.2707114488539,15.803817587641115,-37.51386027457234,2.757980675632446,2.006384540505957
SCHEDULE_RAIL,RAIL,rail_event_count,0.3,1292,250.78457172342624,266.5883893110674,186.61187251774712,15.803817587641115,-64.1726992056791,2.757980675632446,1.6305864729427118
